Mês/Ano,Razão Social,CNPJ,Região,Estado,Município,Capacidade Produção Biodiesel (m³/d)
06/2018,COMPANHIA PRODUTORA DE BIODIESEL DO TOCANTINS,07913930000185,NORTE,Tocantins,PARAISO DO TOCANTINS,81
06/2018,BIOPAR - BIOENERGIA DO PARANA LTDA.,07922068000177,SUL,Paraná,ROLANDIA,120
06/2018,TAUA BIODIESEL LTDA,08079290000112,CENTRO OESTE,Mato Grosso,NOVA MUTUM,100
06/2018,"BIOCAMP INDUSTRIA, COMERCIO, IMPORTACAO E EXPORTACAO DE BIODIESEL LTDA",08094915000115,CENTRO OESTE,Mato Grosso,CAMPO VERDE,300
06/2018,IPÊ BIOCOMBUSTÍVEL LTDA.,08382761000167,CENTRO OESTE,Mato Grosso,FELIZ NATAL,10
06/2018,BIO OLEO INDUSTRIA E COMERCIO DE BIOCOMBUSTIVEL LTDA - EPP,08387930000151,CENTRO OESTE,Mato Grosso,CUIABA,150
06/2018,"BIO BRAZILIAN ITALIAN OIL INDUSTRIA, COMERCIO E EXPORTACAO DE BIOCOMBUSTIVEIS LTDA.",08429269000108,CENTRO OESTE,Mato Grosso,BARRA DO GARCAS,98
06/2018,CESBRA QUIMICA LTDA,08436584000154,SUDESTE,Rio de Janeiro,VOLTA REDONDA,166
06/2018,BIOPAR PRODUCAO DE BIODIESEL PARECIS LTDA,08684263000179,CENTRO OESTE,Mato Grosso,NOVA MARILANDIA,338
06/2018,BIO VIDA PRODUCAO E COMERCIO DE BIODIESEL LTDA - ME,08772264000175,CENTRO OESTE,Mato Grosso,VARZEA GRANDE,18
06/2018,AMAZONBIO - INDUSTRIA E COMERCIO DE BIODIESEL DA AMAZONIA LTDA.,08794451000150,NORTE,Rondônia,JI-PARANA,90
06/2018,PETROBRAS BIOCOMBUSTIVEL S/A,10144628000203,NORDESTE,Ceará,QUIXADA,301
06/2018,PETROBRAS BIOCOMBUSTIVEL S/A,10144628000386,NORDESTE,Bahia,CANDEIAS,603
06/2018,PETROBRAS BIOCOMBUSTIVEL S/A,10144628000467,SUDESTE,Minas Gerais,MONTES CLAROS,422
06/2018,ALIANCA BIOCOMBUSTÍVEL LTDA.,10737181000197,CENTRO OESTE,Mato Grosso,RONDONOPOLIS,10
